tas,Year,Month,Country, C, ISO3, ISO2
23.9084,1914,9,CAF,,,
24.3362,1914,10,CAF,,,
24.3301,1914,11,CAF,,,
23.6579,1914,12,CAF,,,
24.3285,1915,1,CAF,,,
26.0847,1915,2,CAF,,,
26.8597,1915,3,CAF,,,
26.6382,1915,4,CAF,,,
25.8058,1915,5,CAF,,,
24.6598,1915,6,CAF,,,
23.8997,1915,7,CAF,,,
23.7162,1915,8,CAF,,,
23.9084,1915,9,CAF,,,
24.3067,1915,10,CAF,,,
24.3301,1915,11,CAF,,,
23.5254,1915,12,CAF,,,
23.7289,1916,1,CAF,,,
25.9542,1916,2,CAF,,,
26.7569,1916,3,CAF,,,
26.7404,1916,4,CAF,,,
25.684,1916,5,CAF,,,
24.5662,1916,6,CAF,,,
23.7263,1916,7,CAF,,,
23.6363,1916,8,CAF,,,
23.7759,1916,9,CAF,,,
24.0059,1916,10,CAF,,,
24.2114,1916,11,CAF,,,
23.4172,1916,12,CAF,,,
24.0771,1917,1,CAF,,,
25.9835,1917,2,CAF,,,
26.6656,1917,3,CAF,,,
26.4674,1917,4,CAF,,,
25.8872,1917,5,CAF,,,
24.5542,1917,6,CAF,,,
23.8864,1917,7,CAF,,,
23.6227,1917,8,CAF,,,
23.6617,1917,9,CAF,,,
24.3222,1917,10,CAF,,,
24.0696,1917,11,CAF,,,
23.4362,1917,12,CAF,,,
23.8966,1918,1,CAF,,,
25.7079,1918,2,CAF,,,
26.4245,1918,3,CAF,,,
26.3106,1918,4,CAF,,,
25.703,1918,5,CAF,,,
24.6053,1918,6,CAF,,,
24.0665,1918,7,CAF,,,
23.6773,1918,8,CAF,,,
23.9751,1918,9,CAF,,,
24.3456,1918,10,CAF,,,
24.2913,1918,11,CAF,,,
23.6579,1918,12,CAF,,,
24.5493,1919,1,CAF,,,
26.2557,1919,2,CAF,,,
26.9514,1919,3,CAF,,,
26.4809,1919,4,CAF,,,
25.9247,1919,5,CAF,,,
24.6987,1919,6,CAF,,,
23.9523,1919,7,CAF,,,
23.9378,1919,8,CAF,,,
24.0529,1919,9,CAF,,,
24.439,1919,10,CAF,,,
24.2406,1919,11,CAF,,,
23.5912,1919,12,CAF,,,
24.023,1920,1,CAF,,,
25.6944,1920,2,CAF,,,
26.5826,1920,3,CAF,,,
26.4674,1920,4,CAF,,,
25.7381,1920,5,CAF,,,
24.6188,1920,6,CAF,,,
23.8997,1920,7,CAF,,,
23.685,1920,8,CAF,,,
23.8901,1920,9,CAF,,,
24.1882,1920,10,CAF,,,
